latitude,longitude
28.6746442, 77.5044026
28.6745971, 77.5043462
28.6745701, 77.5043878
28.6744430, 77.5043878
28.6744206, 77.5041384
28.6744395, 77.5041330
28.6744348, 77.5040820
28.6744136, 77.5040847
28.6744148, 77.5040700
28.6743842, 77.5040592
28.6743759, 77.5040834
28.6743571, 77.5040753
28.6743547, 77.5040539
28.6743053, 77.5040498
28.6743077, 77.5040793
28.6742453, 77.5040740
28.6742453, 77.5040498
28.6742053, 77.5040485
28.6742041, 77.5040713
28.6741712, 77.5040659
28.6742003, 77.5048227
28.6743818, 77.5048129
28.6743806, 77.5048424
28.6744124, 77.5048411
28.6744418, 77.5048049
28.6744289, 77.5047419
28.6744512, 77.5047325
28.6744336, 77.5044978
28.6744524, 77.5044924
28.6744595, 77.5045112
28.6745242, 77.5045165
28.6745795, 77.5045635
28.6746383, 77.5045072
28.6746218, 77.5044884
28.6746407, 77.5044642
28.6746207, 77.5044307
