sno,latitude,longitude
0,28.6774123, 77.4997757
1,28.6768403, 77.5002386
2,28.6761411, 77.5008045
3,28.6760894, 77.5009601
4,28.6759905, 77.5010030
5,28.6758838, 77.5013282
6,28.6757317, 77.5018669
7,28.6757834, 77.5019364
8,28.6757996, 77.5020661
9,28.6758352, 77.5021080
10,28.6759482, 77.5022583
11,28.6761871, 77.5024014
12,28.6762249, 77.5024229
13,28.6765883, 77.5026391
14,28.6769083, 77.5020598
15,28.6771934, 77.5014145
16,28.6772283, 77.5013356
17,28.6777192, 77.5002653
18,28.6759518, 77.5009226
19,28.6760332, 77.5007464
20,28.6755315, 77.5019785
21,28.6755729, 77.5020553
22,28.6756232, 77.5021488
23,28.6756624, 77.5021304
24,28.6754968, 77.5019477
25,28.6752378, 77.5017180
26,28.6750223, 77.5016068
27,28.6749837, 77.5016145
28,28.6748907, 77.5015835
29,28.6755532, 77.5023386
30,28.6754488, 77.5025247
31,28.6751494, 77.5025790
32,28.6750189, 77.5026276
33,28.6749338, 77.5026963
34,28.6748181, 77.5027713
35,28.6747070, 77.5029266
36,28.6746134, 77.5030870
37,28.6744914, 77.5031876
38,28.6743123, 77.5032068
39,28.6742237, 77.5031841
40,28.6754283, 77.5019839
41,28.6753864, 77.5020417
42,28.6754063, 77.5021070
43,28.6754460, 77.5021472
44,28.6755055, 77.5021171
45,28.6756021, 77.5029457
46,28.6758766, 77.5030481
47,28.6756253, 77.5035717
48,28.6754984, 77.5037367
49,28.6749462, 77.5044435
50,28.6743674, 77.5051201
51,28.6741209, 77.5048246
52,28.6737695, 77.5044431
53,28.6733426, 77.5039646
54,28.6731278, 77.5040400
55,28.6752741, 77.5035048
56,28.6740014, 77.5044244
57,28.6740328, 77.5045300
58,28.6741257, 77.5045735
59,28.6765859, 77.5032294
60,28.6762274, 77.5040017
61,28.6760860, 77.5040178
62,28.6759806, 77.5043224
63,28.6757935, 77.5036988
64,28.6764931, 77.5029356
65,28.6764978, 77.5030861
66,28.6766946, 77.5032798
67,28.6769144, 77.5033818
68,28.6770339, 77.5034373
69,28.6769867, 77.5030574
70,28.6767745, 77.5029356
71,28.6772701, 77.5015905
72,28.6770952, 77.5019986
73,28.6773922, 77.5020079
74,28.6752129, 77.5034298
75,28.6748794, 77.5033729
76,28.6749633, 77.5027911
77,28.6750064, 77.5029618
78,28.6751380, 77.5031557
79,28.6752174, 77.5032617
80,28.6762083, 77.5014636
81,28.6762816, 77.5014942
82,28.6765380, 77.5016034
83,28.6766107, 77.5014377
84,28.6766506, 77.5013467
85,28.6766482, 77.5011883
86,28.6771082, 77.5007186
87,28.6769929, 77.5005120
88,28.6764754, 77.5013673
89,28.6762947, 77.5013237
90,28.6765242, 77.5012291
91,28.6768495, 77.5006230
92,28.6762193, 77.5017258
93,28.6762097, 77.5018023
94,28.6762409, 77.5019170
95,28.6762792, 77.5020235
96,28.6763128, 77.5021737
97,28.6763200, 77.5022420
98,28.6762249, 77.5024229























































